hs_code,country,buyer_name,product_desc,city,source
851761,PH,dawns cafe,home small appliances,Davao City,KOTRA_SNS_2025
330410,PH,Lazada,lipsticks and cosmetics,Quezon City,KOTRA_SNS_2025
901890,IN,Medix,medical devices & OtC & cosmetics,Chennai,KOTRA_SNS_2025
392690,BD,ABN Technology,laptop,Dhaka,KOTRA_SNS_2025
940490,PK,ibex. Pakistan,All,Karachi,KOTRA_SNS_2025
330499,PK,Pak Estate Marketing,make up mobikes accessories jewlery art,Faisalabad,KOTRA_SNS_2025
330499,IN,Angellica Herbotics,Cosmetic,Jamnagar,KOTRA_SNS_2025
852329,IN,7FERA WEDDING VENDOR'S,ecommerce,Mumbai,KOTRA_SNS_2025
330499,PK,JM Enterprises,cosmetics,Karachi,KOTRA_SNS_2025
330499,PK,abcd,cosmetics,lahore,KOTRA_SNS_2025
420211,PK,salsoft,mobile,Karachi,KOTRA_SNS_2025
330499,PK,Mehran Enterprise sukkur cosmetics and beauty shop beautyparlours item,cosmetics,Sukkur,KOTRA_SNS_2025
852580,IN,Hebe skin hair laser clinic,"Skin, hair , botox , fillers threads,  cosmetic,  dermatological or cosmetological  device",Delhi,KOTRA_SNS_2025
330499,IN,farmson enterprise,cosmetic,Junagadh,KOTRA_SNS_2025
330499,PK,,beauty products,Islamabad,KOTRA_SNS_2025
330499,IN,stanford school,cosmetic,Bhopal,KOTRA_SNS_2025
330420,IN,Jiyana Crafts,Cosmetics,Rajkot,KOTRA_SNS_2025
330499,GB,Amazon.com,makeup,Huddersfield,KOTRA_SNS_2025
901890,IN,deepti international,medical devices,bhopal,KOTRA_SNS_2025
330491,BD,BeeStudio,cosmetics,Dhaka,KOTRA_SNS_2025
330499,PK,i have my own small business,Cosmetics,Karachi,KOTRA_SNS_2025
340130,PK,CMH Lahore Medical College / Institute of Dentistry,cosmetics,lahore,KOTRA_SNS_2025
330499,PK,Scentaass Traders,Cosmetics,Islamabad,KOTRA_SNS_2025
330499,IN,Eden Overseas,cosmetics,New delhi,KOTRA_SNS_2025
330420,PK,Cosmetics,Cosmetic makeup,HYDERABAD sindh pk,KOTRA_SNS_2025
330410,PK,Maahzu Closets,Makeup,Lahore,KOTRA_SNS_2025
330499,PK,xyz,beauty products,karachi,KOTRA_SNS_2025
330499,US,sknautoshoppe,cosmetic,Gurgaon,KOTRA_SNS_2025
330410,IN,kottram healthcare pvt Ltd,cosmetics,Chennai,KOTRA_SNS_2025
340130,IN,SCPL,beauty and bath product,Mumbai,KOTRA_SNS_2025
903180,IN,na,electronic,Chandigarh,KOTRA_SNS_2025
392490,PK,clic2shop,Kitchen item,Multan,KOTRA_SNS_2025
392043,PK,Amazon.com,"Door, kitchen, wardrobe",Rawat Islamabad,KOTRA_SNS_2025
330499,IN,Atlaspot India Private Limited,COSMETICS,vapi,KOTRA_SNS_2025
420231,IN,Black perl couter,"all,item indeal",Rajkot,KOTRA_SNS_2025
420221,PK,Bahauddin Zakariya University,hand bags n make up,Multan,KOTRA_SNS_2025
330499,IN,HDFC,Cosmetics,Abohar,KOTRA_SNS_2025
330499,US,CommissionEmpire.com,Beauty products,Pathankot,KOTRA_SNS_2025
340130,IN,Crompackindia,Cosmetic,Ghaziabad,KOTRA_SNS_2025
490199,BD,Asian petroleum ltd,i think will be a good product,Mirpur,KOTRA_SNS_2025
340130,IN,Self employed,Cosmetics,Delhi,KOTRA_SNS_2025
392410,PK,power Cement,home and kitchen,nooriabad Sindh,KOTRA_SNS_2025
330499,IN,Tech Mahindra,Cosmetics,Mumbai,KOTRA_SNS_2025
330499,PK,Comstar,cosmetics,Islamabad,KOTRA_SNS_2025
621040,LK,sway dance team,cosmetics and clothes,Colombo,KOTRA_SNS_2025
620990,LK,Promising Enterprises Consultancy,gift items,Colombo,KOTRA_SNS_2025
330499,IN,Abrar Enterprises,Beauty products,Tahsil Fatehpur,KOTRA_SNS_2025
330510,ID,Elvo Indonesia,Hair care,Surabaya,KOTRA_SNS_2025
330499,PH,online seller,skin care products,Calamba,KOTRA_SNS_2025
330499,PH,,Skincare and make up,Quezon City,KOTRA_SNS_2025
330499,ID,Myshoppingsolutiononline,Cosmetic etc,Surabaya,KOTRA_SNS_2025
330410,KH,Heritage Suites Hotel,All Skin care,Srok Siem Reap,KOTRA_SNS_2025
330499,PH,3d Analyzer Information Technologies Inc.,cosmetics,pasay city,KOTRA_SNS_2025
300490,PH,Blushing Blooms GRA Partner,"Beauty products, collagen glutatione, sunblock lotion & soap",General Santos City,KOTRA_SNS_2025
901890,PH,de la salle araneta university,Skin Care Products,valenzuela,KOTRA_SNS_2025
711311,PH,Jeunesse Global,"Beauty, Fashion","Bauko, Mtn. Province",KOTRA_SNS_2025
691200,PH,Nessessities,Beauty products,Makati,KOTRA_SNS_2025
330499,PH,Trendz Marketing Official,Beauty Products,Consolacion Cebu,KOTRA_SNS_2025
293359,PH,Pharmatree Inc,API for cosmetics and pharma products,Quezon City,KOTRA_SNS_2025
670411,PH,Ayumi,Eyelash extensions,Paraaque,KOTRA_SNS_2025
330499,PH,AMZ,Cosmetics,Las Pias,KOTRA_SNS_2025
330790,PH,housekeeping specialeast,cosmetics,taguig city,KOTRA_SNS_2025
340130,PH,Cuta Barangay Hall,make up,Batangas City,KOTRA_SNS_2025
330499,PH,Sonrisa Dental,skin care,Muntinlupa City,KOTRA_SNS_2025
903180,PH,ABSCBN,packed foods and cosmetics,Quezon City,KOTRA_SNS_2025
330499,PH,Browlab Manila,Beauty products,Fort Bonifacio,KOTRA_SNS_2025
330499,PH,Novee Laboratory Aesthetics Corporation,Cosmetics,Davao City,KOTRA_SNS_2025
481950,PH,Kyle&AJ fashion boutique,Clothing bags make up etc thise kinds,Trece Martires,KOTRA_SNS_2025
330499,US,Sitel Corporation Philippines,Beauty products,marilao bulacan,KOTRA_SNS_2025
300640,PH,Dent Ly,DENTAL MATERIALS,Manila,KOTRA_SNS_2025
890520,KH,365 moving,Heavy industry,Phnom Penh,KOTRA_SNS_2025
330499,PH,DMCI HOMES,cosmetics,Sta Rosa,KOTRA_SNS_2025
854370,US,"Subaru of America, Inc.",Beauty,Madison,KOTRA_SNS_2025
330410,US,Many Faces with tay,Makeup lipstick,richmond,KOTRA_SNS_2025
330499,US,cascade resale store,beauty health wellness,Bowie,KOTRA_SNS_2025
330410,US,Roxbury Global Solutions INC,Lipsticks,Plantation,KOTRA_SNS_2025
330590,US,Layla's Lovelies,cosmetic,Pendleton,KOTRA_SNS_2025
330499,CA,Earth Pluse,"Cosmetic, health, fashion",Toronto,KOTRA_SNS_2025
330499,US,Kita Concepts,Cosmetics,Dallas,KOTRA_SNS_2025
330499,US,Crowned in glory,Makeup,Memphis,KOTRA_SNS_2025
960329,US,State of Texas,Beauty,Palestine,KOTRA_SNS_2025
330499,US,Bloom beauty supplies Co.,Organics products,Downey,KOTRA_SNS_2025
420219,US,Metropolitan State Hospital,Cellphone,Anaheim,KOTRA_SNS_2025
732189,US,"Barb&son, LLC",Barb,Saint Petersburg,KOTRA_SNS_2025
330420,US,Blakwardrob,Makeup and beauty,Richfield,KOTRA_SNS_2025
330499,US,Na,Makeup,Colorado Springs,KOTRA_SNS_2025
330499,CA,7 Industries Sales and Marketing,All products,Toronto,KOTRA_SNS_2025
850110,US,30 Records LLC,open,The Bronx,KOTRA_SNS_2025
330410,US,Elana’s beauty,Makeup,Sacramento,KOTRA_SNS_2025
330499,US,MiK Enterprises LLC,Cosmetics,West Valley City,KOTRA_SNS_2025
330420,US,Washington DC,Makeup,Alexandria,KOTRA_SNS_2025
330499,IN,Bittu exim,Beauty product,surat,KOTRA_SNS_2025
330499,IN,Beauty Box Cosmetics (TBB COSMETICS PRIVATE LIMITED),cosmetics,Mumbai,KOTRA_SNS_2025
330491,US,Mychoice Enterprise Ltd,beauty products,Wyoming,KOTRA_SNS_2025
330410,PK,MDK Japan,makeup,Karachi,KOTRA_SNS_2025
330499,IN,CrossCon / EKO GEKO PRIVATE LIMITED,Cosmetics,Mumbai,KOTRA_SNS_2025
330499,IN,Aarna Pharmaceuticals,cosmetics,Ahmedabad,KOTRA_SNS_2025
330410,IN,AVS Ventures,lipstick lipgloss compact eyliner,Dehra Dun,KOTRA_SNS_2025
330499,IN,Anu's,Cosmetics,Mumbai,KOTRA_SNS_2025
960330,PK,At Home,make up,Faisalabad,KOTRA_SNS_2025
392330,IN,nrhm,Cosmetic,balasinor near ahemdabad,KOTRA_SNS_2025
330590,MN,Zuushop,Hair care,Ulaanbaatar,KOTRA_SNS_2025
330499,UA,Korea cosmetics Ukraine,Cosmetics,Kyiv,KOTRA_SNS_2025
950691,UA,Работа не по найму,Device smart,Kyiv,KOTRA_SNS_2025
330499,US,Self employed,"skincare, make up",Экибастуз,KOTRA_SNS_2025
330590,UZ,Zartech Pro LLC,"Cosmetics, hair care",Tashkent,KOTRA_SNS_2025
621430,MN,Hi,"Cosmetics, hair care",Bayanhongor,KOTRA_SNS_2025
420219,AZ,Glamour Tmizlik,"Cosmetics, hair care",Baku,KOTRA_SNS_2025
330510,UA,MORO Ukraine,Cosmetic,Kyiv,KOTRA_SNS_2025
621040,MN,Sun Nar,Cosmetic,Darkhan,KOTRA_SNS_2025
852610,MN,Geosan LLC,Drone,Ulaanbaatar,KOTRA_SNS_2025
842112,AZ,Yussal Provision MMC,"Body, hair and face care",Baku,KOTRA_SNS_2025
854370,UZ,Tashkent Pediatric Medical Institute,Cosmetics,Tashkent,KOTRA_SNS_2025
850440,MN,Facebook,Cosmetics,Ulan Bator,KOTRA_SNS_2025
391810,MN,WHO,Cosmetics,Ulaanbaatar,KOTRA_SNS_2025
950490,MN,Boom Deal,Cosmetics,Ulaanbaatar,KOTRA_SNS_2025
330499,MN,Apexcom,Cosmetics,Ulaanbaatar,KOTRA_SNS_2025
330499,KZ,Работа не по найму,Cosmetics,Астана,KOTRA_SNS_2025
382479,UA,"ФГ ""Три поля""",Cosmetics,Смолне,KOTRA_SNS_2025
330499,UZ,Al Majid Beauty group,Cosmetics,Tashkent,KOTRA_SNS_2025
630790,AZ,Hasdent,Cosmetics,Baku,KOTRA_SNS_2025
330499,ZA,personal,Cosmetics,Uzbekistan,KOTRA_SNS_2025
851770,UZ,Banu.com,Cosmetics,Tashkent,KOTRA_SNS_2025
382000,MN,Facebook,Cosmetics,Ulaanbaatar,KOTRA_SNS_2025
854370,MN,"Ulaanbaatar, Mongolia",Consumer goods,Ulaanbaatar,KOTRA_SNS_2025
851210,PH,Kings Safetynet Inc,"Safety personal protective equipment, hardware and construction, electrical products",Cainta,KOTRA_SNS_2025
854370,IN,HomeSense Kolkata,Consumer durables and everyday use products,Kolkata,KOTRA_SNS_2025
330499,GB,doctor,Skincare,New Delhi,KOTRA_SNS_2025
854370,US,skinn4u,skincare,Hyderabad,KOTRA_SNS_2025
330410,KW,Ishq Aur Dervaish,cosmetics,Salmiya,KOTRA_SNS_2025
330499,PK,Arizona Enterprises,Cosmetics,Narowal,KOTRA_SNS_2025
560130,PK,Shaukat Khanum Memorial Cancer Hospital and Research Centre,make up,Lahore,KOTRA_SNS_2025
940210,IN,orane international,Beauty,Amritsar,KOTRA_SNS_2025
330499,AE,topchoicediamon l.l.c,cosmetic,dubai,KOTRA_SNS_2025
330499,IN,RJShop,Cosmetic,Surat,KOTRA_SNS_2025
330499,IN,Lookcious,cosmetics,Rourkela,KOTRA_SNS_2025
330499,PH,The White Closet,Beauty products and skincare,Santa Rosa,KOTRA_SNS_2025
330499,US,VA Cowork,cosmetics,Cauayan City,KOTRA_SNS_2025
340130,PH,SKIN HABIT MNL,Korean Cosmetics,Mandaluyong,KOTRA_SNS_2025
330499,PH,Fit And Trim Manila,beauty products,Makati,KOTRA_SNS_2025
210690,PH,Ipolymer Solutions Corp.,Health and beauty,San Juan,KOTRA_SNS_2025
190211,NO,Z3merchandise,Food,Davao,KOTRA_SNS_2025
330499,PH,,skincare,"Taytay, Rizal",KOTRA_SNS_2025
392690,PH,13chellai,any,Muntinlupa City,KOTRA_SNS_2025
330499,PH,Aguila Businesses,Beauty products and food,Victorias City,KOTRA_SNS_2025
950691,PH,Ehfi,"Health and wellness, cosmetics",Bacolod CIty,KOTRA_SNS_2025
854370,PH,Kusina Korner,Skin care,Manila,KOTRA_SNS_2025
621040,PH,Na,"Cosmetics, clothes, shoes",Cebu (landmark is Arbees Bakeshop Andres Ancajas ),KOTRA_SNS_2025
691200,PH,"Teacher at Uniwise Bilingual School, Dongguan City of China",Beauty products,Davao City,KOTRA_SNS_2025
330499,PH,Schwarzkopf Professional Philippines,cosmetics,imus,KOTRA_SNS_2025
330491,PH,marinne home inn,cosmetic,Puerto Princesa,KOTRA_SNS_2025
330499,PH,"Followed By 1,653,865 People",Cosmetics,Davao City,KOTRA_SNS_2025
330790,PH,Online Business,cosmetics and beauty products,San Fernando,KOTRA_SNS_2025
330491,KH,Cambodia,lips,Siem Reap,KOTRA_SNS_2025
870899,PH,Skycable,others,Quezon City,KOTRA_SNS_2025
901910,GB,celebrity pets,beauty products,san Pedro Laguna,KOTRA_SNS_2025
330410,PH,AP Law,cosmetics,Manila,KOTRA_SNS_2025
330499,PH,MB Digital Hub,Cosmetics skin care,Bacoor,KOTRA_SNS_2025
330499,PH,Tabzzizlers Restobar,cosmetics,cebu city,KOTRA_SNS_2025
330499,PH,Snc dental clinic,Skin care,Dasmarias,KOTRA_SNS_2025
330491,PH,,Beauty products,Las Pias,KOTRA_SNS_2025
330499,PH,Ucart,Beauty products,Davao City,KOTRA_SNS_2025
560121,PH,ginebra san miguel,Make up,Quezon City,KOTRA_SNS_2025
330499,US,,skincare,dasma cavite,KOTRA_SNS_2025
330499,PH,Jarie Potato Corner,Cosmetics,Quezon City,KOTRA_SNS_2025
330499,PH,QES Technology Philippines Inc,Skin care,Las Pias,KOTRA_SNS_2025
300490,PH,na,beauty products,Quezon City,KOTRA_SNS_2025
901890,PH,Aquabelleza Skin and Body,"CO2 laser, hydrafacial",Imus,KOTRA_SNS_2025
330491,MM,Beauty & Seoul,Beauty products,Yangon,KOTRA_SNS_2025
330499,IN,Newspaper,Cosmetics,West Delhi,KOTRA_SNS_2025
340130,IN,Koushal Vikas Yojna Foundation,Cosmetic,Kolkata,KOTRA_SNS_2025
841330,IN,Neptune Engineering,pumps,Ahmedabad,KOTRA_SNS_2025
850440,GB,Innovate Republic ltd,Travel Adapters,London,KOTRA_SNS_2025
330499,PK,stopNshop365,All,Karachi,KOTRA_SNS_2025
330499,IN,The Nutrition Care,Cosmetics,Delhi,KOTRA_SNS_2025
330499,IN,AMISAN INDIA,"Beauty cosmetics, skin care, Hair care, body care products",Thane,KOTRA_SNS_2025
330499,BD,Silk Route Design Ltd.,cosmetics,Dhaka,KOTRA_SNS_2025
630790,IN,"Udaipur, Rajasthan",medical,udaipur,KOTRA_SNS_2025
330499,IN,No company,Korean cosmetics,New delhi,KOTRA_SNS_2025
10121,IN,"Neha Enterprises,Asansol",cosmetics &Herbal,Asansol,KOTRA_SNS_2025
330499,IN,Sanket collection,Cosmetics and skin care,Agra,KOTRA_SNS_2025
330510,BD,SISMO ELECTRONICS BANGLADESH LTD,cosmetics,DHAKA,KOTRA_SNS_2025
330491,PK,HNM,Makeup,Lahore,KOTRA_SNS_2025
330499,PK,Atsol Ventures,OEM skincare and korean skincare brands,Karachi,KOTRA_SNS_2025
330499,PK,Rastek Technologies,Cosmetics,Karachi,KOTRA_SNS_2025
330420,PK,simplybuy,makeup,Karachi,KOTRA_SNS_2025
940290,PK,Hospital,Medic,Lahore,KOTRA_SNS_2025
420219,IN,"Amity University, Gwalior",Cosmetic,Gwalior,KOTRA_SNS_2025
330499,PK,LH,Cosmetics,Rawalpindi,KOTRA_SNS_2025
340130,PK,Skyline,cosmetics,Karachi,KOTRA_SNS_2025
330499,PK,"Islamabad, Pakistan",cosmetics,multan,KOTRA_SNS_2025
250100,IN,Bussinessman,blood pressure monitors,Latur,KOTRA_SNS_2025
854370,IN,Neoceutics,Beauty products,Mumbai,KOTRA_SNS_2025
300290,US,Business Promotion activitiest,beauti product,delhi,KOTRA_SNS_2025
900319,IN,GRACE  ENTERPRISE. MUMBAI,spectacle frames and sunglasses n plastic lenses and contact lenses,Mumbai INDIA,KOTRA_SNS_2025
392113,PK,enablers,"home and kitchen, pet supplies, office supplies",Lahore,KOTRA_SNS_2025
330499,US,Lilydove LLC,abib sunstick protection bar,florida,KOTRA_SNS_2025
330491,BD,The Coach,makeup,Dhaka,KOTRA_SNS_2025
330499,PK,Youtuber and reviewer,Makeup and skincare,Karachi,KOTRA_SNS_2025
